Inventory Number,Title,Note,Length,Width,Height,Weight,Seller Cost,Supplier,Bulbs Included,Bulb Type,Position,Attribute4Name,Partslink Number,OEM Number,Item SKU,Item SKU,
PLX-M0-20-9010-00-9,For 2008 2009 Mitsubishi Lancer Headlight Driver & Passenger Side CAPA MI2502139,"<b>Product Info:</b><br>- Brand: KarParts360<br>- Part: Headlight<br>- Position: Driver and Passenger Side<br>- Bulb Type: Halogen<br>- High Beam Bulb Type: Halogen<br>- Low Beam Bulb Type: Halogen<br>- Lens Material: Plastic<br>- Housing Material: Plastic<br>- Sold as Pair<br><br><b>Product Interchange:</b><br>- Partslink Number: MI2502139<br>- OEM Number: 8301B075<br><br> <b>Premium Aftermarket Replacement Parts:</b><br>- Exact fit to original equipment manufacturer<br>- All of our items are DOT and SAE certified<br><br><b>Made To Last:</b><br>- This item is constructed with high-quality material and rigorously tested to ensure structural strength and integrity<br><br><b>Please confirm OEM # or Partslink # matches exactly before purchasing, otherwise, the item might not fit.<br><br>To ensure safe delivery, please note signature might be required for $200+ orders.</b>",23.74,11.81,24.34,18.34,201,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,MI2502139,8301B075,20-9010-00-9,20-9009-00-9,
PLX-M0-20-9010-00-CL360A55,For Mitsubishi Lancer Headlight 2008 2009 Pair Driver and Passenger Side,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: Headlight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: MI2502139, MI2503139<br>OEM Number: 8301B075, 8301B076<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",25.15,12.63,21.22,16.92,201,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"MI2502139 , MI2503139",8301B075,20-9010-00,20-9009-00,
PLX-M0-20-9012-00-1,For 2009 2010 Hyundai Sonata Headlight Driver and Passenger w/Bulbs DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HY2502148, HY2503148<br>OEM Number: 92101-0A500, 92102-0A500<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",12.63,18.84,18.84,15.78,157.46,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HY2502148 , HY2503148",92101-0A500,20-9012-00,20-9011-00,
PLX-M0-20-9012-00-1-CL360A1,For 2009 2010 Hyundai Sonata Headlight Driver & Passenger Side Pair DOT,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HY2502148, HY2503148<br>OEM Number: 92101-0A500, 92102-0A500<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",12.63,18.84,18.84,15.78,157.46,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HY2502148 , HY2503148",92101-0A500,20-9012-00,20-9011-00,
PLX-M0-20-9012-00-9,For 2009 2010 Hyundai Sonata Headlight Driver and Passenger w/Bulbs CAPA,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HY2502148, HY2503148<br>OEM Number: 92101-0A500, 92102-0A500<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",12.63,18.84,18.84,15.8,187.16,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HY2502148 , HY2503148",92101-0A500,20-9012-00-9,20-9011-00-9,
PLX-M0-20-9012-00-9-CL360A1,For 2009 2010 Hyundai Sonata Headlight Driver & Passenger Side Pair CAPA,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: HY2502148, HY2503148<br>OEM Number: 92101-0A500, 92102-0A500<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",12.63,18.84,18.84,15.8,187.16,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HY2502148 , HY2503148",92101-0A500,20-9012-00-9,20-9011-00-9,
PLX-M0-20-9012-00-CL360A55,For Hyundai Sonata Headlight 2009 2010 Pair Driver and Passenger Side HY2502148,"<b>EXACT FITMENT WITH THE FOLLOWING VEHICLES:</b><br/><br/>2009-2010 HYUNDAI SONATA:: See Notes<br/><br/><b>PREMIUM AFTERMARKET REPLACEMENT PARTS:</b><br/>
<ul><li>Exact fit to original equipment manufacturer</li>
<li>All of our items are DOT and SAE certified</li></ul><br/>
<b>GUARANTEES AND WARRANTIES:</b><br/>
<ul><li>90-day satisfaction guarantee</li>
<li>1-year limited warranty</li></ul><br/>
<b>MADE TO LAST:</b><br/> 
<ul><li>This item is constructed with high quality material and rigorously tested to ensure structural strength and integrity</li></ul><br/><b>Please confirm OEM # or Partslink # matches exactly before purchasing, otherwise, the item might not fit.<br/><br/>  To ensure safe delivery, please note signature might be required for $200+ orders.</b>",26.22,12.63,18.84,15.78,180.9,TYC,Yes,Halogen,Driver and Passenger Side,PARTSLINK Number,"HY2502148 , HY2503148",92101-0A500,20-9012-00,20-9011-00,
PLX-M0-20-9014-00-1,For 2007 2008 Infiniti G35 Headlight Driver and Passenger Side DOT w/Bulbs,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: IN2502137, IN2503137<br>OEM Number: 26060-JK60C, 26010-JK60C<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",12.75,22.64,22.64,35.784,376.8,TYC,Yes,High Intensity Discharge (HID),Driver and Passenger Side,PARTSLINK Number,"IN2502137 , IN2503137",26060-JK60C,20-9014-00,20-9013-00,
PLX-M0-20-9014-00-1-CL360A1,For 2007 2008 Infiniti G35 Headlight Driver & Passenger Side Pair DOT HID,"<b>Product Info:</b><br>Brand: KarParts360<br>Part: HeadLight<br>Position: Driver and Passenger Side<br>Sold As Pair<br><br><b>Product Interchange:</b><br>Partslink Number: IN2502137, IN2503137<br>OEM Number: 26060-JK60C, 26010-JK60C<br><br><b>Aftermarket Replacement Parts:</b><br><br>Each component undergoes comprehensive evaluation and inspection to meet our stringent safety standards and high-quality criteria, ensuring it meets OEM specifications.<br><br><b>Built for Durability:</b><br><br>Made from high-quality materials, this product has been rigorously tested to ensure long-lasting performance.<br><br>Please verify that the OEM # or Partslink # matches exactly before purchasing to ensure proper fitment.",12.75,22.64,22.64,35.784,376.8,TYC,Yes,High Intensity Discharge (HID),Driver and Passenger Side,PARTSLINK Number,"IN2502137 , IN2503137",26060-JK60C,20-9014-00,20-9013-00,
PLX-M0-20-9014-00-9-CL360A55,For Infiniti G35 2007 2008 Headlight Driver and Passenger Side Pair CAPA | HID,"<b>Product Info:</b><br>- Brand: KarParts360<br>- Part: Headlights<br>- Position: Driver and Passenger Side<br>- Sold As Pair<br>- Bulb Type: HID<br>- Lens Color: Clear, Amber<br>- Housing Material: Plastic ABS<br>- Lens Material: Plastic PMMA<br>- CAPA Certified<br><br><b>Product Interchange:</b><br>- Partslink Numbers: IN2502137, IN2503137<br>- OEM Numbers: 26060JK60C, 26010JK60C<br><br><b>Premium Aftermarket Replacement Parts:</b><br>- Exact fit to original equipment manufacturer<br>- All of our items are DOT and SAE certified<br><b><br><b>Made To Last:</b><br>- This item is constructed with high quality material and rigorously tested to ensure structural strength and integrity.<br><b><br>- Please confirm OEM # or Partslink # matches exactly before purchasing, otherwise, the item might not fit.<br><br>- To ensure a safe delivery, please note signature might be required for $200+ orders.",27.17,12.52,22.2,35.784,443.52,TYC,,High Intensity Discharge (HID),Driver and Passenger Side,PARTSLINK Number,"IN2502137 , IN2503137",26060-JK60C,20-9014-00-9,20-9013-00-9,
